Date,Startup_Name,Industry,SubVertical,City,Investors,InvestmentType,Amount_usd,sector
10/01/2018,SahajanandMedicalTechnologies,Technology,"Medical Devices",Surat,"Morgan Stanley Private Equity Asia",Equity,36230000,Technology
12/01/2018,Kuants,Technology,"Algorithmic Trading",Gurugram,"Pankaj Chopra, Ankush Gupta","Seed Funding",80000,Technology
12/01/2018,Razorpay,Technology,"Payment Gateway",Bangalore,"Tiger Global, Y Combinator",Equity,20000000,Technology
15/01/2018,Streak,Technology,"Algorithmic Trading",Bangalore,"Indian fintech fund, Rainmatter","Seed Funding",354600,Technology
15/01/2018,piVentures,Finance,"Venture Capital",Bangalore,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Equity,25000000,Finance
15/01/2018,NewgenSoftware,Technology,IT,Delhi,"Goldman Sachs, hedge fund & Others",Equity,20000000,Technology
17/01/2018,Rubix,Technology,Education,Pune,"Polaris Fund",Equity,1000000,Technology
18/01/2018,ShareChat,Technology,Social,Bangalore,"Xiaomi Singapore, Shunwei Capital",Equity,18200000,Technology
22/01/2018,Paperflite,Technology,IT,Chennai,"The Chennai Angels","Seed Funding",400000,Technology
22/01/2018,HungerBox,"Consumer Internet","Food and Beverages",Bangalore,"Lionrock Capital",Equity,2500000,Other
22/01/2018,OptaCredit,Finance,"Alternative Lending",Chennai,"DMI Finance",Equity,4000000,Finance
22/01/2018,AEONLearning,Technology,Education,Bangalore,"Dr. Ranjan Pai",Equity,3200000,Technology
23/01/2018,Milkbasket,"E commerce","Online Grocery",Gurugram,"Unilever Ventures",Equity,3000000,E-Commerce
24/01/2018,NeoGrowthCredit,Finance,"Digital Lending",Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Equity,47000000,Finance
24/01/2018,RaoIITAcademy,Education,"Coaching Services",Mumbai,"Avendus Finance",Debt,8600000,Education
24/01/2018,AyeFinance,Finance,"Online Lending",Gurugram,"IFMR Capital","Term Loan",6240000,Finance
25/01/2018,GreyAtom,Technology,Education,Mumbai,"Pravega Ventures",Equity,1000000,Technology
26/01/2018,Axio,Healthcare,"Hemostatic Dressing Solutions",Bangalore,"RNT Capital",Equity,7400000,Healthcare
29/01/2018,eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Equity,1500000,Healthcare
29/01/2018,TheWeddingBrigade,"Consumer internet","Online Services",Mumbai,"Blume Ventures",Equity,1000000,Other
30/01/2018,PeeSafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Equity,1000000,Healthcare
30/01/2018,BrowserStack,Technology,"Browser Testing",Mumbai,"Accel Partners",Equity,50000000,Technology
30/01/2018,Scapic,Technology,"Virtual Reality",Bangalore,"Axilor Ventures, Newfort Capital","Seed Funding",500000,Technology
30/01/2018,MoneyOnMobile,Technology,"Mobile Payment Platform",Mumbai,"Undisclosed Investors",Equity,7600000,Technology
30/01/2018,CureFit,Healthcare,Fitness,Bangalore,"HDFC Bank, Axis Bank",Debt,10000000,Healthcare
31/01/2018,iNurture,Technology,"Education Solutions",Bangalore,Ventureast,Equity,4400000,Technology
05/12/2017,Dunzo,Technology,"Daily Task Management Mobile App",Bangalore,Google,Equity,12300000,Technology
05/12/2017,TataHousing,"Real Estate","Residential Project",Mumbai,Hines,Equity,23000000,"Real Estate"
05/12/2017,HandyTrain,Technology,"Mobile Learning Management Platform",Goa,"NB Ventures",Equity,1000000,Technology
05/12/2017,Mobycy,Technology,"Bicycle sharing Platform",Gurugram,"Undisclosed Investors","Seed Funding",500000,Technology
06/12/2017,GreenlightPlanet,Technology,"Off grid solar products platform",Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Equity,60000000,Technology
06/12/2017,Fintobox,Technology,"Child Learning & Development Platform",Chennai,Lightbox,Equity,7000000,Technology
07/12/2017,Mswipe,Technology,"Mobile point of sale services provider",Mumbai,"Eduardo Saverin",Equity,10000000,Technology
07/12/2017,TheLabelLife,"E Commerce","Home Decor and Online Fashion Portal",Mumbai,Kalpvriksh,Equity,3100000,E-Commerce
07/12/2017,CygnusHospitals,Healthcare,"Super speciality Hospitals",Gurugram,"Somerset Indus Capital Ventures","Seed Funding",750000,Healthcare
07/12/2017,eShakti,Ecommerce,""Women's Fashion Clothing Online Platform"""",Chennai,"IDG Ventures",Debt,2300000,E-Commerce
08/12/2017,Inshorts,Technology,"Mobile News Curation App",Noida,"Tiger Global",Equity,5000000,Technology
11/12/2017,VahdamTea,"E Commerce","Online Platform Selling Indian Tea Globally",Delhi,"Singapore Angel Network, Mumbai Angel",Equity,1500000,E-Commerce
11/12/2017,LogicRoots,Technology,"Educational Platform to Learn Mathematics",Mumbai,"Village Capital","Seed Funding",50000,Technology
11/12/2017,ProjectMudra,Technology,"Assisting Visually Impaired to learn through Braille",Bangalore,"Village Capital","Seed Funding",50000,Technology
11/12/2017,Furlenco,Technology,"Furniture Rental Platform",Bangalore,"Aamir Khan",Debt,1200000,Technology
12/12/2017,ICanStay,Technology,"Hotel Aggregator Platform",Delhi,"HT Media",Equity,1800000,Technology
12/12/2017,Simility,Technology,"Adaptive Fraud Intelligence Platform",Hyderabad,"Accel Partners",Equity,17500000,Technology
12/12/2017,Shopholix,"E Commerce","Fashion and Lifestyle Coupon Platform",Gurugram,"Munesh Khanna","Seed Funding",233000,E-Commerce
13/12/2017,MindTickle,Technology,"Gamification Platform to train Sales People",Pune,"Canaan Partners",Equity,27000000,Technology
13/12/2017,NazaraTechnologies,Technology,"Mobile Games Development Firm",Mumbai,"Rakesh Jhunjhunwala",Equity,27000000,Technology
13/12/2017,DocsApp,Technology,"Mobile Application for Doctor Consultation",Bangalore,"Bessemer Venture Partners",Equity,7200000,Technology
14/12/2017,TeaBox,"E Commerce","Fresh Indian Tea Selling Platform across 112 countries",Bangalore,"RB Investments",Equity,7000000,E-Commerce
14/12/2017,TransversalTechnologies,Technology,"Hyperlocal Video Information Sharing Platform",Bangalore,"Matrix Partners",Equity,6000000,Technology
14/12/2017,Curofy,Technology,"Mobile App for Network of Doctors",Gurugram,"RoundGlass Partners LLC","Seed Funding",250000,Technology
14/12/2017,HomeLane,"E Commerce","Online Furniture Marketplace",Bangalore,"Accel Partners, Sequoia Capital, RB Investments",Equity,10000000,E-Commerce
15/12/2017,Purplle,"E Commerce","Beauty Products Online Marketplace",Mumbai,"Mountain Pain Capital, Suncoast Investments","Seed Funding",537000,E-Commerce
15/12/2017,CashSuvidha,"E Commerce","Online Micro Lending Platform",Delhi,N/A,Debt,2700000,E-Commerce
19/12/2017,Springboard,Technology,"Online Courses and Mentoring from Experts",Bangalore,"Costanoa, Learn Capital, Jyoti Bansal",Equity,9500000,Technology
19/12/2017,9Stacks,Technology,"Online Poker Platform",Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Equity,1500000,Technology
20/12/2017,YourQuote,Technology,"Vernacular and Video Content Platform",Bangalore,"Axilor Ventures, E-City VEntures Atul Goel",Equity,1000000,Technology
20/12/2017,SpandanaSphoorty,Finance,"Micro finance institution providing small ticket unsecured loans to women",Hyderabad,""Kedaraa Capital",Equity,19500000,Finance
21/12/2017,IndusOS,Technology,"Regional Operating System for Smartphones",Mumbai,"Omidyar Network",Equity,4000000,Technology
21/12/2017,EasyEcom,"E Commerce","Ecommerce enabler platform",Bangalore,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments","Seed Funding",150000,E-Commerce
26/12/2017,Specsmakers,"E Commerce","Online Spects Platform for Men and Women",Chennai,"Eight Roads Ventures India",Equity,10000000,E-Commerce
27/12/2017,Foyr,Technology,"Realty Tech Startup solving real life Interior Designing problems",Hyderabad,"Jones Lang LaSalle",Equity,3800000,Technology
02/11/2017,PrestLoans,Finance,"Business & SME Loans provider",Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma","Seed Funding",570000,Finance
03/11/2017,Vagupu,Technology,"Online Tutorial Marketplace",Bangalore,"Undisclosed Investors","Seed Funding",1000000,Technology
03/11/2017,KalpnikTechnologies,Technology,"VR based Spiritual platform",Bangalore,"Venture Catalysts","Seed Funding",500000,Technology
04/11/2017,HevoData,Technology,"Real time data analytics & reporting",Bangalore,"IDG Ventures India",Equity,1000000,Technology
07/11/2017,DocTalk,Technology,"Doctor Patient Communication platform",Mumbai,"Matrix Partners India, Khosla Ventures",Equity,5000000,Technology
07/11/2017,CoveIoT,Technology,"Wearable tech and Internet of Things platform",Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Equity,5000000,Technology
08/11/2017,TalentEdge,Technology,"Distance Education Learning Platform",Bangalore,"Lumis Partners",Equity,7600000,Technology
08/11/2017,Fisdom,Finance,"Mutual Fund Investment App",Bangalore,"Quona Capital Management",Equity,3000000,Finance
08/11/2017,FarmLink,eCommerce,"Online platform for Agricultural products",Mumbai,"Pioneering Ventures, Syngenta AG",Equity,3000000,E-Commerce
08/11/2017,OpenApp,Technology,"IoT based Tech Startup",Bangalore,"Axilor Ventures, Kumar Vembu",Equity,3600000,Technology
09/11/2017,NoPaperForms,Technology,"Enrolment Management Platform",Delhi,"Info Edge","Seed Funding",872000,Technology
10/11/2017,Qubole,Technology,"Big Data based analytics platform",Bangalore,"Singtel, Innov8, Harmony Partners",Equity,25000000,Technology
13/11/2017,UniversalSportsbizPvt.Ltd,ECommerce,"Celebrity fashion accessories and merchandise",Mumbai,"Accel Partners",Equity,15000000,E-Commerce
14/11/2017,ActiveAI,Technology,"AI based FinTech platform",Bangalore,"Vertex Ventures",Equity,8250000,Technology
15/11/2017,Sumeru,Technology,"Banking Software License Platform",Bangalore,"Undisclosed Investors","Seed Funding",900000,Technology
15/11/2017,OmniaInformation,Technology,"WiFi Analytics Platform",Delhi,"Omidyar Network",Equity,3000000,Technology
17/11/2017,Kanhaiya,Inspiration,"Storytelling platform",Hyderabad,"Undisclosed Investors","Seed Funding",200000,Other
20/11/2017,ONNBikes,Technology,"Self riding bike rental program",Mumbai,"Z Nation Lab","Seed Funding",692000,Technology
21/11/2017,Rapido,Technology,"Bike and Taxi pooling online platform",Hyderabad,"Skycatcher Fund, Aravind Sanka","Seed Funding",329230,Technology
21/11/2017,Heckyl,Technology,"Big Data Analytics Platform",Mumbai,"Notion Capital, IDG Ventures",Equity,2700000,Technology
21/11/2017,Nuvepro,Technology,"Managed Cloud Environment Solutions",Mumbai,1Crowd,"Seed Funding",400000,Technology
21/11/2017,RedBook,Technology,"AI based pharmacy drugs insights platform",Mumbai,"Vida Ventures, Dr. Aniruddha Malpani","Seed Funding",250000,Technology
21/11/2017,Portea,Healthcare,"Healthcare facilities at doorstep",Bangalore,"Sabre Partners, MEMG CDC",Equity,26000000,Healthcare
21/11/2017,EpiqCapital,Finance,"Tech based investor firm",Mumbai,"Global Institutional Investors",Equity,200000000,Finance
24/11/2017,IDGVentures,Finance,"Venture Capitalist",Bangalore,"Uniliver Ventures",Equity,10000000,Finance
24/11/2017,TempGo,Technology,"IoT and SaaS based transportation platform",Goa,"Javelin StartupO Victory Fund","Seed Funding",250000,Technology
27/11/2017,Edelweiss,Finance,"Diversified Financial",Mumbai,"Undisclosed investors",Equity,270000000,Finance
27/11/2017,ERA,Technology,"Identity management platform",Mumbai,"Amit Patni","Seed Funding",39000,Technology
27/11/2017,Smaaash,Technology,"Virtual Reality based gaming platform",Mumbai,"Sixth Sense Ventures",Equity,3800000,Technology
28/11/2017,Chumbak,Lifestyle,"Designer led consumer products",Bangalore,"Gaja Capital",Equity,13000000,Other
28/11/2017,FR8,Technology,"Online Truck aggregator platform",Chennai,"IFMR Capital",Debt,1500000,Technology
28/11/2017,MobieFit,Healthcare,"Health and fitness based mobile App",Goa,"NB Ventures, MediAssist","Seed Funding",1350000,Healthcare
28/11/2017,StanzaLiving,Technology,"Student accommodation platform",Delhi,"Matrix PArtners, Accel",Equity,2000000,Technology
03/10/2017,OlaCabs,"Consumer Internet","App based cab hailing services",Bangalore,"Tencent, Softbank Group",Equity,110000000,Other
04/10/2017,CollPoll,"Consumer Internet","Education collaboration platform",Bangalore,"Sprout Angels","Seed Funding",306000,Other
04/10/2017,PhonePe,"Consumer Internet","Digital Wallet",Bangalore,Flipkart,Equity,38700000,Other
05/10/2017,LittleBlackBook,"Consumer Internet","Local Recommendations and Discoveries Platform",Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Equity,1000000,Other
05/10/2017,Oorjan,Technology,"rooftop solar platform",Mumbai,Globevestor,"Seed Funding",450000,Technology
05/10/2017,Zefo,ECommerce,"Ecommerce Portal for Used Goods",Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Equity,9200000,E-Commerce
06/10/2017,Yaantra,ECommerce,"Mobile repair and Refurbishment platform",Delhi,"Carpediem Capital",Equity,3100000,E-Commerce
06/10/2017,FarmTaaza,Technology,"Fresh Produce SCM company",Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Equity,8000000,Technology
06/10/2017,Drivezy,"Consumer Internet","Self Drive car and bike rental platform",Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Equity,10000000,Other
06/10/2017,SlicePay,"Consumer Internet","Student Micro financing platform",Bangalore,"Das Capital, Simile Ventures",Equity,2000000,Other
09/10/2017,MyGubbi,eCommerce,"Home Interior Designing Seller",Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Equity,2700000,E-Commerce
09/10/2017,OneStepUp,Technology,"Education Technology platform",Delhi,"Orient BlackSwan","Seed Funding",336000,Technology
10/10/2017,ParallelDots,Technology,"AI powered deep learning solutions",Gurugram,"Multipoint Capital",Equity,1400000,Technology
10/10/2017,EasyDiner,"Consumer Internet","online restaurant reservation platform",Gurugram,"Saama Capital and DSG Consumer Partners",Equity,4500000,Other
11/10/2017,Meesho,ECommerce,"Online Reseller Network",Bangalore,"SAIF Partners, YCombinator, Venture Highway",Equity,3100000,E-Commerce
11/10/2017,StanPlus,Logistics,"Medical Transportation Services",Hyderabad,"KStart Capital",Equity,1100000,"Transportation and Logistics"
12/10/2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,"Undisclosed investors","Seed Funding",235000,Technology
13/10/2017,PolicyBazaar,"Consumer Internet","Online insurance policy aggregator",Gurugram,"Wellington Management, DG Ventures India, True North",Equity,77000000,Other
13/10/2017,Gapoon,"Consumer Internet","home maintenance services platform",Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur","Seed Funding",250000,Other
13/10/2017,Chaayos,eCommerce,"Online Chai ordering platform",Gurugram,"Tiger Global Management",Equity,2000000,E-Commerce
16/10/2017,KrazyBee,"Consumer Internet","Micro lending platform",Bangalore,"Xiaomi Technologies, Shunwei Capital",Equity,8000000,Other
16/10/2017,RenewBuy,"Consumer Internet","Online Insurance Aggregator",Delhi,"Amicus Capital",Equity,9200000,Other
17/10/2017,Fingerlix,"Consumer Internet","Food Ordering Portal",Bangalore,"Accel Partners, Zephyr Peacock",Equity,7000000,Other
18/10/2017,BankBazaar,"Consumer Internet","Online Financial Marketplace",Chennai,Experian,Equity,7000000,Other
18/10/2017,BlackBuck,Logistics,"B2B Logistics provider",Bangalore,"Innoven Capital",Equity,7700000,"Transportation and Logistics"
18/10/2017,LenDenClub,"Consumer Internet","Online peer to peer lending platform",Mumbai,"Undisclosed Investor","Seed Funding",500000,Other
23/10/2017,Toppr,"Consumer Internet","Mobile based learning app",Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Equity,7000000,Other
23/10/2017,RAWPressery,"Food & Beverage","Cold pressed Juice maker",Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Equity,6000000,"Food and Beverages"
23/10/2017,Cashe,"Consumer Internet","app only lending platform",Mumbai,"IFMR Capital",Debt,3100000,Other
23/10/2017,ParkEasy,"Consumer Internet","Machine learning based parking discovery",Kolkata,"Rockstart Accelerator","Seed Funding",118000,Other
24/10/2017,FYRE,"Food & Beverage","Herbal energy shot maker",Mumbai,"Venture Catalysts","Seed Funding",500000,"Food and Beverages"
24/10/2017,ZipLoan,"Consumer Internet","SME lending platform",Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Equity,3000000,Other
24/10/2017,Skillenza,"Consumer Internet","Online Learning Platform",Bangalore,"Blume Ventures, Indian Angel Network","Seed Funding",722000,Other
25/10/2017,SpotDraft,"Consumer Internet","Contract Automation",Gurugram,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments","Seed Funding",550000,Other
26/10/2017,BigBasket,eCommerce,"Online Grocery portal",Bangalore,"Helion Ventures Partners",Equity,5000000,E-Commerce
27/10/2017,OfBusiness,Technology,"B2B Finance & Fulfilment Network",Gurugram,"Kotak Mahindra Bank",Debt,3800000,Technology
28/10/2017,CashFree,Technology,"Payments Platform for Marketplaces and Fintechs",Delhi,"Y Combinator","Seed Funding",120000,Technology
28/10/2017,OlaCabs,"Consumer Internet","App based cab hailing services",Bangalore,"ANI Technologies Pvt. Ltd",Equity,7700000,Other
30/10/2017,GoldFarm,"Food & Beverage","Agriculture Technology",Coimbatore,"Mahindra & Mahindra and Infuse Ventures",Equity,2000000,"Food and Beverages"
31/10/2017,NetMeds,ECommerce,"Online Pharmacy",Chennai,"TannCam Investment & Sistema Asia Fund",Equity,14000000,E-Commerce
31/10/2017,MSE,Finance,"Equity Stock Exchange",Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Equity,32000000,Finance
01/09/2017,AahaaStores,eCommece,"Online B2B store for office supplies",Chennai,"YourNest Angel Fund",Equity,1000000,E-Commerce
01/09/2017,MFine,"Consumer Internet","Online Doctor Discovery platform",Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Equity,1500000,Other
01/09/2017,Canvera,"Consumer Internet","Online Photography platform",Mumbai,InfoEdge,Equity,1300000,Other
04/09/2017,PrimaryIO,Technology,"Application Performance Acceleration",Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Equity,5600000,Technology
05/09/2017,ShubhLoans,"Consumer Internet","online lending platform",Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Equity,1500000,Other
05/09/2017,NestEducation,Technology,"EduTech Platform",Gurugram,"Michael and Susan Dell Foundation, Anand Mahindra","Seed Funding",600000,Technology
06/09/2017,LendingKart,"Consumer Internet","Online Lending Platform",Ahemdabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Equity,10750000,Other
06/09/2017,GoFro,"Consumer Internet","Online travel booking platform",Delhi,"HIS Co. Ltd, MakeMyTrip",Equity,10000000,Other
06/09/2017,OncoStem,Healthcare,"Medical Diagnostic Solutions",Bangalore,"Sequoia Capital India, Artiman Ventures",Equity,6000000,Healthcare
06/09/2017,Power2SME,eCommerce,"Buying Club for Small Businesses",Gurugram,"International Finance Corporation (IFC) Inventus Capital Partners Accel Partners Kalaari Capital and Nandan Nilekani",Equity,26000000,E-Commerce
07/09/2017,CreditVidya,"Consumer Internet","Online Credit scoring platform",Mumbai,"Matrix Partners",Equity,5000000,Other
07/09/2017,OYORooms,"Consumer Internet","Branded budget hotels marketplace",Gurugram,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Equity,250000000,Other
07/09/2017,EarlySalary,"Consumer Internet","Online Unsecured Lending platform",Pune,"IFMR Capital",Debt,780000,Other
07/09/2017,Seniority,eCommerce,"Ecommerce portal for senior citizens",Pune,"RPG Enterprises",Equity,1000000,E-Commerce
08/09/2017,AYEFinance,"Consumer Internet","Micro Lending Platform",Delhi,"Triodos Investment Management",Debt,6900000,Other
11/09/2017,EcomExpress,Logistics,"Logistics Solutions provider",Delhi,"Warburg Pincus",Equity,30000000,"Transportation and Logistics"
11/09/2017,CallHealth,"Consumer Internet","Healthcare Services Aggregator",Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Equity,6200000,Other
12/09/2017,3HCare,"Consumer Internet","Healthcare services portal",Delhi,"Undisclosed Investor","Seed Funding",100000,Other
12/09/2017,TonboImaging,Technology,"Imaging Technology for Armed Forces",Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Equity,17000000,Technology
12/09/2017,GetMyParking,"Consumer Internet","Smart Parking Enabler",Delhi,"IAN Fund, Beenext, Indian Angel Network",Equity,3000000,Other
13/09/2017,Glowroad,"Consumer Internet","women focussed customer to customer reseller network",Bangalore,"Accel Partners",Equity,2000000,Other
13/09/2017,OYORooms,"Consumer Internet","udget hotel marketplace",Gurugram,"China Lodging Group",Equity,10000000,Other
13/09/2017,Unacademy,"Consumer Internet","Online learning platform",Mumbai,"Sequoia Capital India SAIF Partners Nexus Venture Partners and Blume Ventures",Equity,11500000,Other
13/09/2017,Heterogenous,Technology,"Telecom & IoT platform",Chennai,"Chennai Angels, Keiretsu Forum & Others","Seed Funding",780000,Technology
14/09/2017,Smaaash,Technology,"Virtual Reality gaming and entertainment platform",Mumbai,"ECL Finance",Equity,44000000,Technology
14/09/2017,WheelStreet,"Consumer Portal","Bike Rental Platform",Bangalore,"Y Combinator","Seed Funding",120000,Other
18/09/2017,TheMomsCo,eCommerce,"Pregnancy & Baby Care product etailer",Gurugram,"DSG Consumer Partners, Saama Capital",Equity,1000000,E-Commerce
19/09/2017,HighRadius,Technology,"Integrated receivables software solutions",Hyderabad,"Susquehanna Growth Equity LLC",Equity,50000000,Technology
21/09/2017,SaveBC,Finance,"financial services firm",Gaya,"Incofin Investment Management.",Equity,6000000,Finance
21/09/2017,Homergize,eCommerce,"Home Furnishing & Building material marketplace",Bangalore,"LG Chandrasekhar",Equity,1000000,E-Commerce
22/09/2017,Yatra,eCommerce,"Online Travel Agency",Gurugram,"InnoVen Capital India",Debt,15400000,E-Commerce
25/09/2017,Synup,Technology,"SME Marketing Management Solution",Bangalore,"Vertex Ventures, Prime Venture Partners.",Equity,6000000,Technology
25/09/2017,Rapido,"Consumer Internet","Bike Aggregator Mobile App",Bangalore,"Battery Road Digital Holdings LLC","Seed Funding",422000,Other
25/09/2017,Sportobuddy,"Consumer Internet","Sports & Sport related equipment portal",Mumbai,"Mehul Shah","Seed Funding",150000,Other
27/09/2017,Transerve,Technology,"Geospatial Technology based SaaS solutions",Mumbai,"IL&FS Investment Managers, Omidyar Network.",Equity,1600000,Technology
27/09/2017,Pitstop,"Consumer Internet","Car repair and Servicing Platform",Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Equity,1000000,Other
27/09/2017,MyUpchar,"Consumer Internet","Local Language Health Information portal",Delhi,LetsVenture,"Seed Funding",300000,Other
28/09/2017,Aadyah,Technology,"Defense Tech & Aerospace startup",Bangalore,"Keiretsu Forum",Equity,1000000,Technology
01/08/2017,TouchKin,Technology,"Predictive Care Platform",Bangalore,"Kae Capital",Equity,1300000,Technology
02/08/2017,Zepo,"Consumer Internet","DIY Ecommerce platform",Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal","Seed Funding",500000,Other
02/08/2017,Click2Clinic,"Consumer Internet","healthcare service aggregator",Hyderabad,"Narottam Thudi, Shireesh Palle","Seed Funding",850000,Other
03/08/2017,SpeedBox,Logistics,"On Demand Logistics Service provider",Mumbai,"Cismat Cargo Services Pvt. Ltd.","Seed Funding",300000,"Transportation and Logistics"
08/08/2017,NewCastleTechnologies,Technology,"Hospital Management Software",Chennai,"Undisclosed investors","Seed Funding",243000,Technology
08/08/2017,MyForexEye,"Consumer Internet","foreign exchange services",Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others","Seed Funding",220000,Other
09/08/2017,TruxApp,Logistics,"Mobile based Logistics Service",Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others","Seed Funding",3100000,"Transportation and Logistics"
09/08/2017,CroFarm,Technology,"Agriculture Supply Chain solutions",Gurugram,"Factor[e] Ventures","Seed Funding",783000,Technology
11/08/2017,Flipkart,eCommerce,"Online Marketplace",Bangalore,Softbank,Equity,2500000000,E-Commerce
11/08/2017,OlaCabs,"Consumer Internet","App based cab aggregation Service",Gurugram,"Tekne Capital Management",Equity,36000000,Other
14/08/2017,Digilend,Technology,"Personal Loans & EMI solutions platform",Mumbai,"InCred Finance, Fullerton India Credit Company Ltd","Seed Funding",312000,Technology
15/08/2017,KNABFinance,"Consumer Internet","Unsecured Small Business Loans",Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj","Seed Funding",385000,Other
20/08/2017,Rootefy,eCommerce,"Building material online store",Delhi,"Abhinav Gupta","Seed Funding",187000,E-Commerce
21/08/2017,Uniphore,Technology,"speech recognition startup",Chennai,"IDG Ventures",Equity,6800000,Technology
21/08/2017,Cerebroz,"Consumer Internet","E Tech platform",Vadodara,"Undisclosed HNI\\xe2\\x80\\x99s","Seed Funding",734000,Other
23/08/2017,Dhruva,Technology,"Cloud data protection and management solutions",Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Equity,80000000,Technology
23/08/2017,BombayShavingCompany,eCommerce,"Men Grooming product etailer",Delhi,"Fireside Ventures",Equity,2300000,E-Commerce
23/08/2017,Indiez,Technology,"Software & Mobile app development platform",Bangalore,"Haresh Chawla","Seed Funding",500000,Technology
24/08/2017,Ezetap,Technology,"mPOS solutions provider",Bangalore,"JS Capital Management Social Capital Horizons Ventures",Equity,16000000,Technology
25/08/2017,InkMonk,"Consumer Internet","Online printing marketplace",Chennai,"VAMM Ventures, Raksul, Dena","Seed Funding",750000,Other
25/08/2017,Medinfi,"Consumer Internet","Online Doctor Discovery Platform",Bangalore,"PBS Srinivas Vinod Martin","Seed Funding",125000,Other
28/08/2017,Mobikon,Technology,"Restaurant & Hotel CRM platform",Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Equity,7000000,Technology
29/08/2017,CureFit,"Consumer Internet","End to End health and wellness platform.",Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital, UC-RNT fund",Equity,25000000,Other
29/08/2017,Doxper,Technology,"Healthtech IoT platform",Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others","Seed Funding",750000,Technology
30/08/2017,Treebo,"Consumer Internet","Budget Hotel Aggregator platform",Bangalore,"Ward Ferry Management and Karst Peak Capital",Equity,34000000,Other
30/08/2017,MedGenome,Technology,"Genomics Research and Diagnostics Solutions",Bangalore,"Sequoia India Sofina s.a. Zodius Capital Kris Gopalakrishnan Lakshmi Narayanan",Equity,30000000,Technology
01/07/2017,BillionLoans,"Consumer Internet","Peer to Peer Lending platform",Bangalore,"Reliance Corporate Advisory Services Ltd","Seed Funding",1000000,Other
03/07/2017,Ecolibriumenergy,Technology,"Energy management solutions provider",Ahemdabad,"Infuse Ventures, JLL",Equity,2600000,Technology
04/07/2017,Droom,eCommerce,"Online marketplace for automobiles",Gurugram,"Asset Management (Asia) Ltd, Digital Garage Inc",Equity,20000000,E-Commerce
05/07/2017,Jumbotail,eCommerce,"online marketplace for food and grocery",Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Equity,8500000,E-Commerce
05/07/2017,Moglix,eCommerce,"B2B marketplace for Industrial products",Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Equity,12000000,E-Commerce
05/07/2017,Timesaverz,"Consumer Internet","Hyperlocal home services provider",Mumbai,BCCL,Equity,1000000,Other
